"laus","sfips","cfips","county","year","lforce","employed","unemployed","unemprate"
"CN010010","01","001","Autauga County, AL","2001",22178,21349,829,3.7
"PA011000","01","003","Baldwin County, AL","2001",69850,67118,2732,3.9
"CN010050","01","005","Barbour County, AL","2001",11331,10559,772,6.8
"CN010070","01","007","Bibb County, AL","2001",9150,8586,564,6.2
"CN010090","01","009","Blount County, AL","2001",25573,24733,840,3.3
"CN010110","01","011","Bullock County, AL","2001",3931,3574,357,9.1
"CN010130","01","013","Butler County, AL","2001",9067,8445,622,6.9
"PA010250","01","015","Calhoun County, AL","2001",52034,49425,2609,5
"CN010170","01","017","Chambers County, AL","2001",17580,16711,869,4.9
"CN010190","01","019","Cherokee County, AL","2001",11449,10975,474,4.1
"CN010210","01","021","Chilton County, AL","2001",19650,18792,858,4.4
"CN010230","01","023","Choctaw County, AL","2001",5913,5529,384,6.5
"CN010250","01","025","Clarke County, AL","2001",11075,10086,989,8.9
"CN010270","01","027","Clay County, AL","2001",6420,6065,355,5.5
"CN010290","01","029","Cleburne County, AL","2001",6984,6651,333,4.8
"CN010310","01","031","Coffee County, AL","2001",19432,18336,1096,5.6
"PA010900","01","033","Colbert County, AL","2001",25804,24190,1614,6.3
"CN010350","01","035","Conecuh County, AL","2001",5313,4959,354,6.7
"CN010370","01","037","Coosa County, AL","2001",5342,5012,330,6.2
"CN010390","01","039","Covington County, AL","2001",16981,16002,979,5.8
"CN010410","01","041","Crenshaw County, AL","2001",6052,5721,331,5.5
"PA010400","01","043","Cullman County, AL","2001",38349,36737,1612,4.2
"PA010450","01","045","Dale County, AL","2001",20304,19277,1027,5.1
"PA010500","01","047","Dallas County, AL","2001",17582,16105,1477,8.4
"PA010270","01","049","DeKalb County, AL","2001",32543,31118,1425,4.4
"CN010510","01","051","Elmore County, AL","2001",31786,30558,1228,3.9
"CN010530","01","053","Escambia County, AL","2001",15668,14791,877,5.6
"PS010010","01","055","Etowah County, AL","2001",47126,44297,2829,6
"CN010570","01","057","Fayette County, AL","2001",8211,7739,472,5.7
"CN010590","01","059","Franklin County, AL","2001",14061,13083,978,7
"CN010610","01","061","Geneva County, AL","2001",12142,11433,709,5.8
"CN010630","01","063","Greene County, AL","2001",3519,3290,229,6.5
"CN010650","01","065","Hale County, AL","2001",7071,6604,467,6.6
"CN010670","01","067","Henry County, AL","2001",7609,7236,373,4.9
"PA010550","01","069","Houston County, AL","2001",45195,43428,1767,3.9
"PA010570","01","071","Jackson County, AL","2001",27236,25613,1623,6
"PS010050","01","073","Jefferson County, AL","2001",329122,316153,12969,3.9
"CN010750","01","075","Lamar County, AL","2001",7269,6734,535,7.4
"PA010600","01","077","Lauderdale County, AL","2001",43163,40586,2577,6
"CN010790","01","079","Lawrence County, AL","2001",16660,15757,903,5.4
"PA010650","01","081","Lee County, AL","2001",58810,56611,2199,3.7
"CN010830","01","083","Limestone County, AL","2001",33583,32251,1332,4
"CN010850","01","085","Lowndes County, AL","2001",5047,4715,332,6.6
"CN010870","01","087","Macon County, AL","2001",8981,8506,475,5.3
"CN010890","01","089","Madison County, AL","2001",151226,145922,5304,3.5
"CN010910","01","091","Marengo County, AL","2001",8970,8482,488,5.4
"CN010930","01","093","Marion County, AL","2001",12986,11958,1028,7.9
"PA010700","01","095","Marshall County, AL","2001",40250,38222,2028,5
"CN010970","01","097","Mobile County, AL","2001",185365,175856,9509,5.1
"CN010990","01","099","Monroe County, AL","2001",9967,9309,658,6.6
"CN011010","01","101","Montgomery County, AL","2001",105972,101598,4374,4.1
"PA010750","01","103","Morgan County, AL","2001",56768,54119,2649,4.7
"CN011050","01","105","Perry County, AL","2001",3887,3496,391,10.1
"CN011070","01","107","Pickens County, AL","2001",8493,7841,652,7.7
"CN011090","01","109","Pike County, AL","2001",13646,12985,661,4.8
"CN011110","01","111","Randolph County, AL","2001",10012,9439,573,5.7
"CN011130","01","113","Russell County, AL","2001",21650,20560,1090,5
"CN011150","01","115","St. Clair County, AL","2001",31990,30770,1220,3.8
"PA011100","01","117","Shelby County, AL","2001",85041,82784,2257,2.7
"CN011190","01","119","Sumter County, AL","2001",5153,4756,397,7.7
"PA010800","01","121","Talladega County, AL","2001",36114,33956,2158,6
"CN011230","01","123","Tallapoosa County, AL","2001",19420,18370,1050,5.4
"PS010220","01","125","Tuscaloosa County, AL","2001",82178,79043,3135,3.8
"PA010850","01","127","Walker County, AL","2001",31488,29768,1720,5.5
"CN011290","01","129","Washington County, AL","2001",7482,6871,611,8.2
"CN011310","01","131","Wilcox County, AL","2001",3852,3496,356,9.2
"CN011330","01","133","Winston County, AL","2001",10792,9868,924,8.6
"CN020130","02","013","Aleutians East Borough, AK","2001",1010,929,81,8
"CN020100","02","016","Aleutians West Census Area, AK","2001",2637,2486,151,5.7
"CN020200","02","020","Anchorage Borough/municipality, AK","2001",142074,135226,6848,4.8
"CN020500","02","050","Bethel Census Area, AK","2001",6312,5707,605,9.6
"CN020600","02","060","Bristol Bay Borough, AK","2001",947,897,50,5.3
"CN020680","02","068","Denali Borough, AK","2001",1449,1358,91,6.3
"CN020700","02","070","Dillingham Census Area, AK","2001",1912,1762,150,7.8
"CN020900","02","090","Fairbanks North Star Borough, AK","2001",41442,39035,2407,5.8
"CN021000","02","100","Haines Borough, AK","2001",1248,1128,120,9.6
"CN021100","02","110","Juneau Borough/city, AK","2001",18005,17185,820,4.6
"CN021220","02","122","Kenai Peninsula Borough, AK","2001",24323,22390,1933,7.9
"CN021300","02","130","Ketchikan Gateway Borough, AK","2001",8135,7607,528,6.5
